CustomerID,Recency,Frequency,Monetary,CustomerSegment
12346.0,325,1,77183.6,At Risk
12347.0,1,182,4310.0,Loyal
12348.0,74,31,1797.24,Regular
12349.0,18,73,1757.55,Loyal
12350.0,309,17,334.4,At Risk
12352.0,35,85,2506.04,Loyal
12353.0,203,4,89.0,At Risk
12354.0,231,58,1079.4,At Risk
12355.0,213,13,459.4,At Risk
12356.0,22,59,2811.43,Loyal
12357.0,32,131,6207.67,Loyal
12358.0,1,19,1168.06,Regular
12359.0,57,248,6372.58,Loyal
12360.0,51,129,2662.06,Loyal
12361.0,286,10,189.9,At Risk
12362.0,2,266,5226.23,Loyal
12363.0,109,23,552.0,Regular
12364.0,7,85,1313.1,Loyal
12365.0,290,22,641.38,At Risk
12367.0,3,11,168.9,Regular
12370.0,50,167,3545.69,Loyal
12371.0,44,63,1887.96,Loyal
12372.0,71,52,1298.04,Loyal
12373.0,310,14,364.6,At Risk
12374.0,24,33,742.9300000000001,Regular
12375.0,10,17,457.5,Regular
12377.0,314,77,1628.12,At Risk
12378.0,129,219,4008.62,Loyal
12379.0,81,40,852.24,Regular
12380.0,21,104,2724.81,Loyal
12381.0,4,87,1845.31,Loyal
12383.0,184,99,1850.56,Loyal
12384.0,28,27,585.27,Regular
12386.0,337,10,401.9,At Risk
12388.0,15,100,2780.66,Loyal
12390.0,79,32,549.84,Regular
12391.0,21,100,460.89,Loyal
12393.0,71,64,1582.6000000000001,Loyal
12394.0,63,27,1272.48,Regular
12395.0,18,156,3018.63,Loyal
12397.0,35,126,2409.9,Loyal
12398.0,45,85,1635.6599999999999,Loyal
12399.0,118,59,1108.65,Loyal
12401.0,302,5,84.3,At Risk
12402.0,322,11,225.6,At Risk
12403.0,49,5,427.7,Regular
12405.0,148,54,1710.39,Loyal
12406.0,21,105,3415.3,Loyal
12407.0,49,77,1708.1200000000001,Loyal
12408.0,32,105,2888.55,Loyal
12409.0,78,109,11072.67,Loyal
12410.0,308,26,693.3299999999999,At Risk
12412.0,74,61,1226.88,Loyal
12413.0,66,38,758.1,Regular
12414.0,216,18,562.41,At Risk
12415.0,23,716,124914.53,Loyal
12417.0,2,192,3649.1,Loyal
12418.0,112,34,668.58,Regular
12420.0,63,29,600.39,Regular
12421.0,15,45,807.04,Regular
12422.0,95,39,803.5600000000001,Regular
12423.0,0,125,1859.31,Loyal
12424.0,162,30,1760.96,Regular
12425.0,77,36,777.2,Regular
12426.0,194,30,582.73,Regular
12427.0,21,31,825.8,Regular
12428.0,25,294,7956.46,Loyal
12429.0,8,97,3750.4,Loyal
12430.0,42,11,256.4,Regular
12431.0,35,236,6487.45,Loyal
12432.0,42,108,5059.32,Loyal
12433.0,0,420,13375.87,Loyal
12434.0,84,50,806.14,Regular
12435.0,79,36,7829.89,VIP
12436.0,99,16,509.01,Regular
12437.0,1,200,4951.41,Loyal
12438.0,13,98,2906.85,Loyal
12441.0,366,11,173.55,At Risk
12442.0,2,12,172.06,Regular
12444.0,20,177,5005.46,Loyal
12445.0,21,4,133.4,Regular
12446.0,57,58,1002.3100000000001,Loyal
12447.0,242,26,476.49,At Risk
12448.0,43,22,449.45,Regular
12449.0,21,191,4067.29,Loyal
12450.0,155,8,197.88,Regular
12451.0,10,354,9035.52,Loyal
12452.0,16,22,430.57,Regular
12453.0,133,43,707.09,Regular
12454.0,55,15,3528.34,Regular
12455.0,72,90,2466.86,Loyal
12456.0,43,125,3181.04,Loyal
12457.0,65,63,2363.23,Loyal
12458.0,70,38,947.4,Regular
12461.0,93,35,826.88,Regular
12462.0,18,62,1189.59,Loyal
12463.0,52,83,1344.78,Loyal
12464.0,9,29,1212.05,Regular
12465.0,16,47,742.1899999999999,Regular
12468.0,187,38,729.5400000000001,Regular
12471.0,1,460,19824.05,Loyal
12472.0,31,339,6572.11,Loyal
12473.0,28,168,3938.5499999999997,Loyal
12474.0,16,424,7375.79,Loyal
12475.0,53,36,723.38,Regular
12476.0,15,233,6816.42,Loyal
12477.0,22,300,13219.74,Loyal
12478.0,3,36,680.99,Regular
12479.0,10,31,527.2,Regular
12480.0,27,154,3281.63,Loyal
12481.0,22,217,5596.32,Loyal
12483.0,16,75,2484.98,Loyal
12484.0,32,346,4541.72,Loyal
12488.0,9,55,1298.66,Loyal
12489.0,335,15,334.93,At Risk
12490.0,4,245,5417.93,Loyal
12491.0,38,26,460.40000000000003,Regular
12492.0,62,20,263.21000000000004,Regular
12493.0,165,22,433.74,Regular
12494.0,15,77,1246.1000000000001,Loyal
12497.0,81,14,1043.1,Regular
12498.0,20,23,403.70000000000005,Regular
12500.0,22,61,4257.82,Loyal
12501.0,336,149,2169.39,At Risk
12502.0,95,147,3723.87,Loyal
12504.0,17,9,482.04999999999995,Regular
12506.0,232,23,73.5,At Risk
12507.0,133,22,1304.81,Regular
12508.0,25,69,398.27,Loyal
12509.0,283,7,176.5,At Risk
12510.0,142,33,982.5699999999999,Regular
12512.0,65,34,138.03,Regular
12513.0,112,35,612.29,Regular
12514.0,266,51,1017.68,At Risk
12515.0,352,16,383.7,At Risk
12516.0,77,26,1312.06,Regular
12517.0,27,284,2502.84,Loyal
12518.0,0,124,2056.89,Loyal
12519.0,63,18,340.84,Regular
12520.0,78,152,2634.26,Loyal
12521.0,142,38,599.68,Regular
12522.0,38,12,192.72,Regular
12523.0,18,106,1789.77,Loyal
12524.0,8,144,4485.72,Loyal
12526.0,0,71,1316.66,Loyal
12527.0,81,18,348.71000000000004,Regular
12528.0,8,92,1933.48,Loyal
12530.0,59,66,1662.28,Loyal
12531.0,14,17,125.22,Regular
12532.0,29,16,349.83000000000004,Regular
12534.0,130,63,1089.18,Loyal
12535.0,91,34,716.35,Regular
12536.0,42,261,12601.830000000002,Loyal
12538.0,28,21,363.95,Regular
12539.0,21,273,5568.35,Loyal
12540.0,19,478,13400.24,Loyal
12541.0,29,52,981.18,Loyal
12544.0,35,19,372.7,Regular
12545.0,74,50,1000.39,Regular
12546.0,46,69,1161.5,Loyal
12547.0,197,8,207.79999999999998,Regular
12548.0,165,5,95.19999999999999,Regular
12550.0,78,57,964.83,Loyal
12551.0,357,10,168.0,At Risk
12552.0,38,20,437.82,Regular
12553.0,7,191,3692.28,Loyal
12556.0,49,121,603.71,Loyal
12557.0,15,33,11990.960000000001,VIP
12558.0,7,11,269.96,Regular
12559.0,310,21,561.71,At Risk
12560.0,4,105,2134.01,Loyal
12561.0,302,16,238.85,At Risk
12562.0,7,168,3781.7400000000002,Loyal
12564.0,260,21,456.9,At Risk
12565.0,288,9,145.92,At Risk
12566.0,85,19,351.65,Regular
12567.0,22,446,9401.28,Loyal
12569.0,1,188,4124.69,Loyal
12571.0,39,34,519.61,Regular
12572.0,8,60,1020.42,Loyal
12573.0,226,28,160.54000000000002,At Risk
12574.0,315,11,218.45,At Risk
12576.0,35,88,1315.83,Loyal
12577.0,34,147,657.8,Loyal
12578.0,20,114,2794.51,Loyal
12579.0,77,29,440.42,Regular
12580.0,246,24,415.7,At Risk
12581.0,39,15,197.71,Regular
12582.0,238,22,511.36,At Risk
12583.0,2,247,7281.38,Loyal
12584.0,3,96,2338.15,Loyal
12585.0,233,87,2040.1,At Risk
12586.0,16,11,196.94000000000003,Regular
12587.0,7,4,144.0,Regular
12588.0,38,10,214.89999999999998,Regular
12589.0,28,35,646.68,Regular
12590.0,210,68,9864.26,At Risk
12591.0,316,26,452.84999999999997,At Risk
12592.0,91,18,437.6,Regular
12593.0,108,21,418.09999999999997,Regular
12594.0,37,118,3338.2200000000003,Loyal
12596.0,50,27,618.27,Regular
12597.0,18,206,3811.22,Loyal
12598.0,9,132,3023.08,Loyal
12599.0,28,62,1032.58,Loyal
12600.0,28,64,2599.04,Loyal
12601.0,189,28,577.0600000000001,Regular
12602.0,58,12,153.12,Regular
12603.0,21,3,739.1999999999999,Regular
12604.0,78,16,254.18,Regular
12607.0,59,101,1579.51,Loyal
